Schlüssel (Fundstelle|Stichwort)	Wortart (- = aus der Liste)	Beispielsatz (Lücke in [ ])
3/3|trop	Adverb	Ce sac est [trop] lourd.
3/3|vraiment	Adverb	Ce film est [vraiment] super.
3/3|drôle	Adjektiv	Mon oncle est très [drôle].
3/3|faire les devoirs	Ausdruck	Après le goûter, je [fais les devoirs].
3/3|surfer (sur Internet)	Verb	Le soir, je [surfe] un peu sur Internet.
3/3|la pancarte	-	Sur la [pancarte], il y a « Entrée interdite ».
3/3|entrer	Verb	Frappe avant d'[entrer] !
M3|l'heure	Nomen, f.	Le cours dure une [heure].
M3|Il est quelle heure ?	Ausdruck	Pardon, [il est quelle heure] ?
M3|et quart	Ausdruck	Il est trois heures [et quart].
M3|le quart	-	Il est neuf heures moins le [quart].
M3|et demi/demie	Ausdruck	Le film commence à huit heures [et demie].
M3|moins	Adverb	Dix [moins] trois, ça fait sept.
M3|moins le quart	Ausdruck	Il est cinq heures [moins le quart].
M3|midi	Nomen, m.	À [midi], je mange à la cantine.
M3|minuit	Nomen, m.	Le soir du 31 décembre, on reste debout jusqu'à [minuit].
M3|Allô ?	Ausruf	[Allô] ? C'est toi, Mamie ?
M3|passer (chez qn)	Verb	Je [passe] chez toi à cinq heures.
M3|demain	Adverb	[Demain], c'est samedi !
M3|À quelle heure ?	Ausdruck	[À quelle heure] commence le match ?
M3|à … heure(s)	Ausdruck	On se retrouve [à quatre heures].
M3|on pourrait	Ausdruck	Il fait beau : [on pourrait] aller au parc.
M3|Ça marche !	Ausdruck	– On se voit à six heures ? – [Ça marche] !
4/Voc|lundi	Nomen, m.	[Lundi], j'ai sport.
4/Voc|mardi	Nomen, m.	Le [mardi], je vais à la piscine.
4/Voc|mercredi	Nomen, m.	Le [mercredi] après-midi, il n'y a pas cours.
4/Voc|jeudi	Nomen, m.	[Jeudi], nous avons un contrôle.
4/Voc|vendredi	Nomen, m.	Le [vendredi], on mange du poisson à la cantine.
4/Voc|dimanche	Nomen, m.	Le [dimanche], je dors longtemps.
4/Voc|le matin	-	Le [matin], je bois un chocolat chaud.
4/Voc|l'après-midi	Nomen, m./f.	L'[après-midi], je fais mes devoirs.
4/Voc|l'emploi du temps	Nomen, m.	Regarde l'[emploi du temps] : on a maths à dix heures.
4/Voc|l'histoire-géo	Nomen, f.	En [histoire-géo], on travaille sur la France.
4/Voc|l'histoire	Nomen, f.	J'aime beaucoup l'[histoire] et les musées.
4/Voc|la géographie	-	En [géographie], on regarde des cartes.
4/Voc|la récré (fam.) / la récréation	-	Pendant la [récré], on joue au foot.
4/Voc|l'anglais	Nomen, m.	L'[anglais], c'est facile pour moi.
4/Voc|l'EPS (= l'Éducation physique et sportive)	Nomen, f.	En [EPS], on fait du basket.
4/Voc|les maths (fam.) / les mathématiques	Nomen, f. pl.	Les [maths], c'est ma matière préférée.
4/Voc|les SVT (= les sciences de la vie et de la Terre)	Nomen, f. pl.	En [SVT], on travaille sur les plantes.
4/Voc|la techno(logie)	-	En [techno], on construit un petit robot.
4/Voc|les sciences physiques	Nomen, f. pl.	En [sciences physiques], on fait des expériences.
4/Voc|le latin	-	Mon frère apprend le [latin].
4/Voc|les arts plastiques	Nomen, m. pl.	En [arts plastiques], on dessine des animaux.
4/Voc|en	Präposition	Je suis bon [en] musique.
4/Voc|la cantine	-	À midi, je mange à la [cantine].
4/Voc|la permanence	-	Le prof est absent, alors on va en [permanence].
4/Voc|je ne peux pas	Ausdruck	Samedi ? Désolé, [je ne peux pas].
4/Voc|Mais non !	Ausdruck	– Tu es fâché ? – [Mais non] !
4/Voc|compliqué/compliquée	Adjektiv	Cet exercice est très [compliqué].
4/1|la salle	-	Le cours de français est dans la [salle] 12.
4/1|la salle des profs	-	Les professeurs sont dans la [salle des profs].
4/1|le bureau	-	Le directeur est dans son [bureau].
4/1|le CDI (= le Centre de Documentation et d'Information)	-	Je cherche un livre au [CDI].
4/1|l'info (fam.) / l'information	Nomen, f.	Merci pour l'[info] !
4/1|le/la CPE (= le/la Conseiller/-ère principal/e d'Éducation)	Nomen, m./f.	Si tu as un problème, parle au [CPE].
4/1|la mission	-	Ta [mission] : trouver la salle 20 !
4/1|le papier	-	Tu as le [papier] pour la sortie ?
4/1|aller	Verb	Nous [allons] au collège à pied.
4/1|le billet de retard	-	Tu es en retard ? Alors il te faut un [billet de retard].
4/1|la solution	-	Voilà la [solution] de l'exercice.
4/1|le point faible	-	Les maths, c'est mon [point faible].
4/1|sévère	Adjektiv	Notre prof de maths est un peu [sévère].
4/1|le principal / la principale	Nomen, m./f.	La [principale] parle aux élèves.
4/1|organiser qc	Verb	Nous [organisons] une fête pour la fin de l'année.
4/1|être pressé/pressée	Ausdruck	Je ne peux pas parler, je [suis pressé].
4/1|le/la documentaliste	Nomen, m./f.	La [documentaliste] m'aide à trouver un livre.
4/1|ranger qc	Verb	Je [range] mes affaires dans mon sac.
4/1|préparer qc	Verb	Maman [prépare] le dîner.
4/1|l'exposé	Nomen, m.	Demain, je fais un [exposé] sur les volcans.
4/1|oublier qc	Verb	Zut ! J'[oublie] toujours mon stylo.
4/1|tout	Pronomen	Merci pour [tout] !
4/1|le surveillant / la surveillante	Nomen, m./f.	Le [surveillant] est dans la cour.
4/1|surveiller qn/qc	Verb	Le prof [surveille] les élèves pendant le contrôle.
4/1|Attention !	Ausruf	[Attention], le bus arrive !
4/1|téléphoner	Verb	Je [téléphone] à ma grand-mère le dimanche.
4/1|manger qc	Verb	À midi, nous [mangeons] à la cantine.
4/1|même	Adverb	Il fait froid, il neige [même] !
4/1|partout	Adverb	Il y a des papiers [partout] dans la cour !
4/2|notre/nos	Begleiter	[Notre] prof de français est très sympa.
4/2|votre/vos	Begleiter	Prenez [vos] cahiers, s'il vous plaît.
4/2|leur/leurs	Begleiter	Mes voisins aiment beaucoup [leur] chien.
4/2|Pourquoi… ?	Adverb	[Pourquoi] tu es en retard ?
4/2|la carte	-	Regarde la [carte] : Lyon est ici.
4/2|allemand/allemande	Adjektiv	Mon correspondant est [allemand].
4/2|le/la corres (fam.) / le correspondant / la correspondante	Nomen, m./f.	Ma [corres] habite à Dijon.
4/2|déjà	Adverb	Tu es [déjà] là ?
4/2|la journée	-	Bonne [journée], Monsieur !
4/2|ensuite	Adverb	D'abord, je mange, [ensuite] je fais mes devoirs.
4/2|la matière	-	Quelle est ta [matière] préférée ?
4/2|trop	Adverb	Ton nouveau vélo est [trop] beau !
4/2|bizarre	Adjektiv	Ce bruit est [bizarre].
4/2|le cauchemar	-	Mon petit frère fait souvent des [cauchemars].
4/2|la cour	-	Pendant la récré, les élèves sont dans la [cour].
4/2|le terrain	-	Les garçons jouent au foot sur le [terrain].
4/2|Ça dépend.	Ausdruck	– Tu viens au cinéma ? – [Ça dépend]. Quel film ?
4/2|avoir de la chance	Ausdruck	Pas de devoirs aujourd'hui ? Tu [as de la chance] !
4/2|expliquer qc	Verb	La prof [explique] l'exercice.
4/2|raconter sa vie	Ausdruck	Mon grand-père aime [raconter sa vie].
4/2|râler	Verb	Mon frère [râle] toujours le matin.
4/2|terminer (qc)	Verb	Le cours [termine] à midi.
4/2|commencer qc	Verb	Les vacances [commencent] samedi !
4/2|la fois	-	C'est la première [fois] que je vais à Paris.
4/2|Ça suffit !	Ausdruck	Arrêtez de crier ! [Ça suffit] !
4/2|Quand… ?	Adverb	[Quand] est-ce que tu viens ?
4/2|avoir cours	Ausdruck	Le mardi, nous [avons cours] jusqu'à cinq heures.
4/2|le cours	-	Le [cours] de musique est super.
4/3|donner son avis (sur qc)	Ausdruck	Dans le forum, les élèves [donnent leur avis] sur la cantine.
4/3|donner qc	Verb	Je [donne] mon vieux vélo à mon cousin.
4/3|le commentaire	-	Écris un [commentaire] sous la vidéo !
4/3|l'an	Nomen, m.	Mon frère a seize [ans].
4/3|l'ambiance	Nomen, f.	Dans ma classe, l'[ambiance] est super.
4/3|beaucoup de qc	Ausdruck	Il y a [beaucoup de] monde au marché.
4/3|trop de qc	Ausdruck	Il y a [trop de] bruit dans la cantine.
4/3|assez de qc	Ausdruck	Tu as [assez d']argent pour le cinéma ?
4/3|ne … pas assez de qc	Ausdruck	Nous [n'avons pas assez de] chaises.
4/3|ne … pas de qc	Ausdruck	Je [n'ai pas de] chien.
4/3|ne … plus de qc	Ausdruck	Il [n'y a plus de] pain.
4/3|je trouve que	Ausdruck	[Je trouve que] la cantine est bonne.
4/3|la rentrée	-	La [rentrée], c'est en septembre.
4/3|l'ascenseur	Nomen, m.	Nous prenons l'[ascenseur] jusqu'au cinquième étage.
4/3|le bruit	-	Qu'est-ce que c'est, ce [bruit] ?
4/3|gaspiller qc	Verb	Ne [gaspille] pas le pain !
4/3|le pain	-	J'achète du [pain] à la boulangerie.
4/3|le plat	-	Le [plat] du jour, c'est du poisson.
4/3|propre	Adjektiv	Ma chambre est [propre] aujourd'hui !
4/3|vite	Adverb	Mon chien court très [vite].
4/3|Au secours !	Ausruf	[Au secours] ! Il y a une araignée dans ma chambre !
4/3|nul/nulle	Adjektiv	Ce film est vraiment [nul].
4/3|bon/bonne	Adjektiv	Ta soupe est très [bonne] !
4/3|être nul/nulle en qc	Ausdruck	Je [suis nul en] dessin.
4/3|être bon/bonne en qc	Ausdruck	Ma sœur [est bonne en] maths.
4/3|le gâchimètre	-	Le [gâchimètre] montre combien de pain on jette.
M4|le menu	-	Qu'est-ce qu'il y a au [menu] aujourd'hui ?
M4|l'entrée	Nomen, f.	En [entrée], il y a une salade.
M4|la soupe	-	Le soir, on mange une [soupe] de légumes.
M4|la carotte	-	Mon lapin adore les [carottes].
M4|le riz	-	Avec le poisson, on mange du [riz].
M4|le légume / les légumes (m. pl.)	-	Les [légumes] sont bons pour la santé.
M4|le steak	-	Je voudrais un [steak] avec des frites.
M4|le gratin	-	Le [gratin] de pommes de terre est délicieux.
M4|le potiron	-	En automne, ma mère fait une soupe au [potiron].
M4|le dessert	-	Comme [dessert], il y a une glace.
M4|le gâteau aux pommes	-	Ma grand-mère fait un [gâteau aux pommes].
M4|le gâteau	-	Pour mon anniversaire, il y a un [gâteau] au chocolat.
M4|la pomme	-	Je mange une [pomme] à la récré.
M4|le fruit	-	La fraise est mon [fruit] préféré.
M4|avoir faim	Ausdruck	Il est midi et j'[ai faim] !
M4|avoir soif	Ausdruck	Il fait chaud, j'[ai soif].
M4|prendre qc	Verb	Je [prends] une pizza, s'il vous plaît.
M4|orange	Adjektiv	Mon sac est [orange].
M4|comme ça	Ausdruck	On fait [comme ça], d'accord ?
M4|sans	Präposition	Je mange mon hamburger [sans] tomates.
M4|la viande	-	Je ne mange pas de [viande].
M4|végétarien/végétarienne	Adjektiv	Ma sœur est [végétarienne].
M4|Bon appétit !	Ausdruck	Le repas est prêt. [Bon appétit] !
M4|Tu me passes … ?	Ausdruck	[Tu me passes] le sel, s'il te plaît ?
M4|l'eau	Nomen, f.	Je bois de l'[eau] à la cantine.
M4|beurk	Ausruf	[Beurk], je n'aime pas les épinards !
M4|le sel	-	Il n'y a pas assez de [sel] dans la soupe.
5/A|le pique-nique	-	Dimanche, on fait un [pique-nique] au parc.
5/A|au bord de qc	Ausdruck	On mange [au bord de] la rivière.
5/A|le festival	-	En juillet, il y a un [festival] de musique.
5/A|le marché	-	Le samedi, nous allons au [marché].
5/A|la Seine	Eigenname, f.	La [Seine] traverse Paris.
5/A|la Folie	Eigenname, f.	Dans le parc de la Villette, chaque [Folie] est rouge.
5/A|la Villette Sonique	Eigenname, f.	En été, [la Villette Sonique] invite des groupes de musique électro.
5/Voc|la liste	-	Qu'est-ce qu'il y a sur la [liste] ?
5/Voc|les courses	Nomen, f. pl.	Je fais les [courses] avec mon père.
5/Voc|il faut qc	Ausdruck	Pour la crêpe, [il faut] de la farine.
5/Voc|la farine	-	Pour le gâteau, il faut de la [farine].
5/Voc|le lait	-	Le matin, je bois un verre de [lait].
5/Voc|les chips	Nomen, f. pl.	Pour la fête, on achète des [chips].
5/Voc|l'œuf	Nomen, m.	Pour la recette, il faut un [œuf].
5/Voc|la pomme de terre	-	Les frites sont faites avec des [pommes de terre].
5/Voc|la fraise	-	En juin, on mange des [fraises].
5/Voc|le beurre	-	Je mange du pain avec du [beurre].
5/Voc|la banane	-	Le singe mange une [banane].
5/Voc|le fromage	-	En France, il y a beaucoup de [fromages].
5/Voc|le jambon	-	Je voudrais un sandwich au [jambon].
5/Voc|le miel	-	Les abeilles font du [miel].
5/Voc|le coca	-	Pas de [coca] au petit-déjeuner !
5/Voc|le biscuit	-	Je mange un [biscuit] à la récré.
5/Voc|le poivre	-	Tu me passes le sel et le [poivre] ?
5/Voc|la crème	-	On mange les fraises avec de la [crème].
5/Voc|le jus	-	Je bois un [jus] de pomme.
5/Voc|le sucre	-	Tu prends du [sucre] dans ton thé ?
5/Voc|l'orange	Nomen, f.	Je mange une [orange] au goûter.
5/Voc|la boisson	-	Quelle est ta [boisson] préférée ?
5/Voc|miam	Ausruf	[Miam], ça sent bon !
5/1|on se retrouve à	Ausdruck	[On se retrouve à] la gare à deux heures ?
5/1|je voudrais	Ausdruck	[Je voudrais] aller au cinéma ce soir.
5/1|Ça te dit ? / Ça vous dit ?	Ausdruck	On va à la piscine. [Ça te dit] ?
5/1|passer	Verb	Nous [passons] le week-end chez mes grands-parents.
5/1|apporter qc	Verb	Pour le pique-nique, j'[apporte] des chips.
5/1|l'idée	Nomen, f.	J'ai une [idée] : on fait un gâteau !
5/1|Bonne idée !	Ausdruck	– On va à la plage ? – [Bonne idée] !
5/1|ce week-end	Ausdruck	Qu'est-ce que tu fais [ce week-end] ?
5/1|vouloir qc/(+ inf.)	Verb	Mon frère [veut] un chien.
5/1|pouvoir	Verb	Tu [peux] venir samedi ?
5/1|préférer qc/	Verb	Je [préfère] le thé au café.
5/1|le film	-	Ce [film] est trop long.
5/1|l'atelier	Nomen, m.	Le samedi, je vais à un [atelier] de cuisine.
5/1|le jardin	-	Nous mangeons dans le [jardin] quand il fait beau.
5/1|cher/chère	Adjektiv	Ce jean est trop [cher].
5/1|gratuit/gratuite	Adjektiv	Le musée est [gratuit] pour les enfants.
5/1|le spectacle	-	Le [spectacle] commence à huit heures.
5/1|ne … pas trop	Ausdruck	Je [n'aime pas trop] le fromage.
5/1|quelque chose	Pronomen	Tu veux boire [quelque chose] ?
5/1|quelqu'un	Pronomen	Il y a [quelqu'un] à la porte.
5/1|appeler qn	Verb	J'[appelle] ma mère après les cours.
5/1|tout le monde	Ausdruck	[Tout le monde] est là ? Alors on commence !
5/1|le hip-hop	-	Mon cousin fait du [hip-hop].
5/1|l'électro	Nomen, f.	Tu aimes l'[électro] ?
5/1|Attends !	Ausruf	[Attends], j'arrive !
5/1|maman	Nomen, f.	[Maman], tu viens ?
5/1|papa	Nomen, m.	[Papa] fait la cuisine ce soir.
5/1|la Recyclerie	Eigenname, f.	À la [Recyclerie], on peut voir des poules.
5/1|le Centquatre (104)	Eigenname, m.	Au [Centquatre], des jeunes font de la danse.
5/2|faire les courses	Ausdruck	Le samedi, nous [faisons les courses] au marché.
5/2|acheter qc	Verb	J'[achète] un cadeau pour ma mère.
5/2|Combien de… ?	Ausdruck	[Combien de] frères et sœurs tu as ?
5/2|Combien… ?	Adverb	[Combien] coûte ce livre ?
5/2|la bouteille	-	J'achète une [bouteille] d'eau.
5/2|la madeleine	-	Ma grand-mère fait des [madeleines].
5/2|le paquet	-	Je voudrais un [paquet] de biscuits.
5/2|le sandwich	-	À midi, je mange un [sandwich].
5/2|l'argent	Nomen, m.	Je n'ai pas assez d'[argent].
5/2|l'euro	Nomen, m.	Le magazine coûte trois [euros].
5/2|cent	Zahlwort	Ce vélo coûte [cent] euros.
5/2|le centime	-	Ça coûte deux euros et cinquante [centimes].
5/2|le kilo	-	Je voudrais un [kilo] de pommes.
5/2|Et avec ça ?	Ausdruck	Voilà vos fraises. [Et avec ça] ?
5/2|C'est tout.	Ausdruck	Non, merci, [c'est tout].
5/2|ça fait	Ausdruck	Deux baguettes, [ça fait] deux euros.
5/2|ça coûte	Ausdruck	Combien [ça coûte] ?
5/2|la baguette	-	Une [baguette], s'il vous plaît.
5/2|C'est quoi ?	Ausdruck	Cette chose verte, [c'est quoi] ?
5/2|sucré/sucrée	Adjektiv	Ce gâteau est trop [sucré].
5/2|salé/salée	Adjektiv	Les chips sont [salées].
5/2|la quiche	-	Ce soir, on mange une [quiche] aux légumes.
5/2|la chouquette	-	À la boulangerie, j'achète des [chouquettes].
5/3|le secret	-	Dis-moi ton [secret] !
5/3|le site (web)	-	Sur ce [site], il y a de bonnes recettes.
5/3|la cuisine	-	Mon père adore faire la [cuisine].
5/3|la chimie	-	La cuisine, c'est un peu de la [chimie].
5/3|l'exemple	Nomen, m.	Donne-moi un [exemple], s'il te plaît.
5/3|la forme	-	Ce gâteau a la [forme] d'un cœur.
5/3|la bosse	-	La madeleine a une petite [bosse].
5/3|la température	-	Quelle est la [température] du four ?
5/3|le four	-	Le gâteau est dans le [four].
5/3|chaud/chaude	Adjektiv	Attention, la soupe est très [chaude] !
5/3|froid/froide	Adjektiv	L'eau de la mer est [froide].
5/3|la pâte	-	La [pâte] à crêpes est prête.
5/3|le choc	-	Quel [choc] !
5/3|intéressant/intéressante	Adjektiv	Ce livre est très [intéressant].
5/3|la recette	-	Tu as la [recette] de ce gâteau ?
5/3|le gramme	-	Il faut deux cents [grammes] de farine.
5/3|la levure	-	Pour ce gâteau, il faut de la [levure].
5/3|mille	Zahlwort	Ce vélo coûte [mille] euros ? C'est trop cher !
M5|Joyeux anniversaire !	Ausdruck	[Joyeux anniversaire], Léa !
M5|l'anniversaire	Nomen, m.	Mon [anniversaire], c'est le 3 mai.
M5|premier/première	Adjektiv	C'est la [première] fois que je fais du ski.
M5|janvier	Nomen, m.	En [janvier], il fait froid.
M5|février	Nomen, m.	Mon anniversaire est en [février].
M5|mars	Nomen, m.	Le printemps commence en [mars].
M5|avril	Nomen, m.	En [avril], il pleut souvent.
M5|mai	Nomen, m.	Le premier [mai], il n'y a pas d'école.
M5|juin	Nomen, m.	En [juin], on mange des fraises.
M5|juillet	Nomen, m.	Les grandes vacances commencent en [juillet].
M5|août	Nomen, m.	En [août], nous allons à la mer.
M5|septembre	Nomen, m.	La rentrée, c'est en [septembre].
M5|octobre	Nomen, m.	En [octobre], les feuilles tombent.
M5|novembre	Nomen, m.	En [novembre], il fait gris.
M5|décembre	Nomen, m.	Noël, c'est en [décembre].
M5|la fête	-	Samedi, il y a une [fête] chez Sarah.
M5|fêter qc	Verb	Nous [fêtons] l'anniversaire de papa.
M5|inviter qn	Verb	J'[invite] toute la classe à ma fête.
M5|l'invitation	Nomen, f.	Merci pour l'[invitation] !
M5|le skate	-	Je fais du [skate] dans le parc.
M5|la soirée	-	Bonne [soirée] !
M5|le camping	-	En été, nous faisons du [camping].
M5|le sac de couchage	-	N'oublie pas ton [sac de couchage] !
M5|le cadeau	-	Merci pour le [cadeau] !
M5|Je compte sur toi.	Ausdruck	Tu viens à ma fête ? [Je compte sur toi].
M6|la carte postale	-	J'écris une [carte postale] à ma grand-mère.
M6|la balade	-	On fait une [balade] dans la forêt ?
M6|le VTT (= le vélo tout-terrain)	-	Dans la montagne, on fait du [VTT].
M6|la montagne	-	En hiver, nous allons à la [montagne].
M6|il pleut	Ausdruck	Prends ton parapluie, [il pleut] !
M6|il fait (beau/froid/chaud)	Ausdruck	Aujourd'hui, [il fait] beau.
M6|le soleil	-	Le [soleil] brille.
M6|rester	Verb	Ce soir, je [reste] à la maison.
M6|j'espère que	Ausdruck	[J'espère que] tu vas bien.
M6|arriver	Verb	Le train [arrive] à dix heures.
M6|bientôt	Adverb	Les vacances, c'est [bientôt] !
M6|À bientôt !	Ausdruck	Merci pour tout et [à bientôt] !
M6|cher/chère (+ Anrede)	Adjektiv	[Chère] Mamie, je suis en vacances.
M6|le rêve	-	Aller à New York, c'est mon [rêve].
M6|d'abord	Adverb	[D'abord], je prends une douche.
M6|la plage	-	On joue au volley sur la [plage].
M6|rentrer	Verb	Je [rentre] à la maison à cinq heures.
M6|après	Adverb	On mange, et [après], on va au parc.
M6|c'est l'heure de qc	Ausdruck	Il est midi, [c'est l'heure du] déjeuner !
M6|la sieste	-	Après le repas, papi fait la [sieste].
M6|le portable	-	Mon [portable] est dans mon sac.
M6|le soir	-	Le [soir], je lis dans mon lit.
M6|le jour	-	Il y a sept [jours] dans une semaine.
M6|la mer	-	L'eau de la [mer] est salée.
M6|dehors	Adverb	Il fait beau, on joue [dehors] !
M6|longtemps	Adverb	Le dimanche, je dors [longtemps].
M6|le volcan	-	En Auvergne, il y a beaucoup de [volcans].
M6|facile	Adjektiv	L'exercice est [facile].
M6|le bisou	-	Gros [bisous] et à bientôt !
M6|l'Auvergne	Eigenname, f.	L'[Auvergne] est une région avec des volcans.
M6|le Tour de France	Eigenname, m.	Le [Tour de France] passe dans notre ville.
